time,value_float,name,application_id,device_id,measurement_id
2024-08-05 00:00:00+00:00,0.33010018214936254,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:01:00+00:00,0.4497267759562841,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:02:00+00:00,0.7178779599271404,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:03:00+00:00,0.559790528233151,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:04:00+00:00,0.4568943533697626,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:05:00+00:00,0.7611384335154825,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:06:00+00:00,0.5128233151183964,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:07:00+00:00,0.6034608378870671,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:08:00+00:00,1.0412204007285972,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:09:00+00:00,1.104854280510018,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:10:00+00:00,0.5008652094717665,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:11:00+00:00,0.9575683060109285,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:12:00+00:00,0.7545537340619302,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:13:00+00:00,0.5167213114754095,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:14:00+00:00,0.5919854280510014,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:15:00+00:00,0.838424408014572,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:16:00+00:00,0.2872222222222217,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:17:00+00:00,0.7917668488160287,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:18:00+00:00,0.6603005464480868,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:19:00+00:00,0.23212204007285908,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:20:00+00:00,0.9607194899817848,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:21:00+00:00,0.6836429872495441,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:22:00+00:00,0.46562841530054594,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:23:00+00:00,0.33704918032786796,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:24:00+00:00,0.677617295308187,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 00:25:00+00:00,0.7582604735883421,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:26:00+00:00,0.7832969034608376,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:27:00+00:00,0.14253187613843285,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:28:00+00:00,0.45160291438979894,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:29:00+00:00,1.152030965391621,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:30:00+00:00,0.43925318761384274,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:31:00+00:00,0.4654371584699445,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:32:00+00:00,0.5820400728597446,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:33:00+00:00,-0.9293351548269586,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:34:00+00:00,0.08793260473588257,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:35:00+00:00,0.6754918032786882,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:36:00+00:00,0.7246539162112933,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:37:00+00:00,0.9272040072859743,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:38:00+00:00,0.5735701275045538,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:39:00+00:00,0.18972677595628396,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:40:00+00:00,0.4037887067395264,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:41:00+00:00,0.05145719489981755,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:42:00+00:00,0.7211475409836064,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:43:00+00:00,0.20333333333333323,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:44:00+00:00,0.35110200364298727,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:45:00+00:00,0.956193078324226,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:46:00+00:00,0.4983515482695811,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:47:00+00:00,0.4894080145719489,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:48:00+00:00,0.7585832566697335,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:49:00+00:00,0.3643715846994536,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:50:00+00:00,0.14206739526411633,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:51:00+00:00,0.027540983606557188,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:52:00+00:00,0.08267759562841503,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:53:00+00:00,0.8056739526411659,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:54:00+00:00,0.6001001821493627,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:55:00+00:00,0.2059016393442621,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:56:00+00:00,0.006357012750455394,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:57:00+00:00,0.6252823315118398,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 00:58:00+00:00,0.23604735883424383,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 00:59:00+00:00,0.1761566484517303,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:00:00+00:00,-0.11048269581056504,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:01:00+00:00,0.3245173041894353,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:02:00+00:00,0.28870673952641135,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:03:00+00:00,0.6986794171220402,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:04:00+00:00,0.5807749766573296,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:05:00+00:00,0.4705373406193079,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:06:00+00:00,0.7752914389799638,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:07:00+00:00,0.6452094717668491,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:08:00+00:00,-0.023970856102003845,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:09:00+00:00,0.5381967213114756,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:10:00+00:00,0.12189435336976326,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:11:00+00:00,0.4594080145719491,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:12:00+00:00,0.7585610200364301,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:13:00+00:00,0.26824225865209467,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:14:00+00:00,0.2089253187613844,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:15:00+00:00,0.502768670309654,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:16:00+00:00,0.6375500910746813,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:17:00+00:00,0.5096630236794172,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:18:00+00:00,0.6016099356025759,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:19:00+00:00,0.8628051001821493,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:20:00+00:00,0.7605646630236794,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:21:00+00:00,1.3640619307832424,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:22:00+00:00,0.22235883424408,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:23:00+00:00,0.5088615664845173,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:24:00+00:00,1.5171766848816033,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:25:00+00:00,0.6495537340619311,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:26:00+00:00,0.29188524590163933,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:27:00+00:00,0.9156102003642989,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:28:00+00:00,0.877049180327869,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:29:00+00:00,0.5116211293260474,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:30:00+00:00,-0.09826047358834228,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:31:00+00:00,0.4438615664845174,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:32:00+00:00,0.14058287795992713,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:33:00+00:00,0.7314116575591988,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:34:00+00:00,0.3641347905282332,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:35:00+00:00,0.44503642987249564,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:36:00+00:00,0.6811566484517307,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:37:00+00:00,0.481539162112933,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:38:00+00:00,0.43632058287796005,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:39:00+00:00,0.43256830601092916,Seasonal_Storage_System,PV System,PV Inverter,Active Power
2024-08-05 01:40:00+00:00,0.2641074681238619,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:41:00+00:00,0.5041894353369767,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:42:00+00:00,0.46663023679417154,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:43:00+00:00,0.48461748633879825,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:44:00+00:00,0.4444626593806926,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:45:00+00:00,0.6884153005464486,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:46:00+00:00,0.27047358834244123,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:47:00+00:00,0.5118579234972681,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:48:00+00:00,0.6749908925318767,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:49:00+00:00,0.512586520947177,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:50:00+00:00,0.3489617486338803,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:51:00+00:00,0.49082877959927196,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:52:00+00:00,0.3720856102003648,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:53:00+00:00,0.45037718491260403,Seasonal_Storage_System,Ventilation,Ventilation 1,Emergency Ventilation 1 Control Signal
2024-08-05 01:54:00+00:00,0.36908925318761415,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:55:00+00:00,0.9495264116575598,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:56:00+00:00,0.3016211293260476,Seasonal_Storage_System,Battery System,Battery,Current
2024-08-05 01:57:00+00:00,0.5673770491803283,Seasonal_Storage_System,Battery System,Battery,Current
